date,year,NDVI,NDWI,EVI,total_mangrove_area_ha,total_carbon_stock_tonnes,total_CO2_absorption_tonnes_per_year
2024-03-12,2024,0.39579736972439555,-0.33751567523737563,-506477763.85229784,343669.48235791037,153620258.61398593,3436694.8235791037
2024-03-19,2024,0.382387129600264,-0.323000050189448,0.48961325532545497,250005.57141224932,111752490.42127545,2500055.7141224933
2024-03-26,2024,0.37847990490740363,-0.3219096498217909,0.48934371986025793,219224.03000489224,97993141.41218683,2192240.300048922
2024-04-02,2024,0.39930779991950954,-0.34915899571480435,0.4535657567915293,358625.7919037644,160305728.9809827,3586257.9190376443
2024-04-09,2024,0.3989576665141422,-0.35373057761712084,0.40272260913175495,450647.61686987156,201439484.7408326,4506476.168698716
2024-04-16,2024,0.3983539438449333,-0.35620118942130774,0.3933910199148349,423453.09671059105,189283534.2296342,4234530.96710591
2024-04-23,2024,0.3913501715683846,-0.34770785126390547,0.4000614794598313,381027.4249508575,170319258.9530333,3810274.2495085746
2024-04-30,2024,0.38241619494351037,-0.332194580211936,0.43659395865439676,278754.0652115202,124603067.14954951,2787540.6521152016
2024-05-07,2024,0.3792319834281099,-0.32314362307548394,0.4367679974665273,289967.60797411815,129615520.7644308,2899676.0797411813
2024-05-14,2024,0.38533442588954847,-0.3325284262158497,0.42686705376502965,303854.49102875526,135822957.4898536,3038544.9102875525
2024-05-21,2024,0.3989737373291315,-0.33773915332260207,0.4739088547515838,269593.91922726,120508481.89458522,2695939.1922726
2024-05-28,2024,0.40305747204928016,-0.343652058811461,0.48757876162504277,271994.7295225589,121581644.09658384,2719947.295225589
2024-06-04,2024,0.39959506485344404,-0.3407180148609949,0.48451134496530746,271455.5782764864,121340643.48958944,2714555.782764864
2024-06-11,2024,0.3320595371311984,-0.26755811474657143,0.4509207169560878,25656.81450638228,11468596.084352879,256568.1450638228
2024-07-02,2024,0.4103307535585276,-0.32897406542485114,0.5682913672305329,3699.8876872314618,1653849.7961924635,36998.87687231462
2024-07-09,2024,0.43897494936227666,-0.3440907881508082,0.5978921052589679,6501.585167571951,2906208.569904662,65015.85167571952
2024-07-16,2024,0.4410995273601089,-0.3466254230232362,0.5929696064081481,7443.672539111251,3327321.6249827296,74436.72539111252
2024-08-20,2024,0.4970214900766458,-0.4114134807441525,0.5987614735285255,48806.43722255735,21816477.438483138,488064.3722255735
2024-08-27,2024,0.5144914230640836,-0.4363965988565938,0.5578662395494678,218338.49528019258,97597307.39024608,2183384.952801926
2024-09-03,2024,0.47217919088548166,-0.3964408611514314,0.5701243297191761,179438.53704625863,80209026.0596776,1794385.3704625862
